generic_name_clean,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
cabozantinib,"abdominal pain, abnormal dreams, abscess, ageusia, alanine aminotransferase increased, alopecia, amenorrhoea, angina pectoris, angiopathy, anxiety, arthralgia, aspartate aminotransferase increased","anal fissure, eosinophil count increased, facial pain, hair colour changes, hair growth abnormal, leukoderma, neutrophil count decreased, osteonecrosis of jaw, pharyngeal oedema, pneumonia aspiration","arterial thrombosis, posterior reversible encephalopathy syndrome, respiratory tract haemorrhage","fistula, malignant hypertension, telangiectasia","activated partial thromboplastin time shortened, anal inflammation, aspergilloma, gastrointestinal fistula, pneumomediastinum, tracheal fistula"
calcium,"abscess, arrhythmia, asthenia, bradycardia, cardiac arrest, confusional state, constipation, decreased appetite, delirium, depressed level of consciousness, diarrhoea, dizziness","coma, vasodilatation","necrosis, vasospasm",,"calcinosis, sense of oppression"
canagliflozin,"abdominal pain, angioedema, angiopathy, asthenia, bladder pain, blood creatinine increased, blood phosphorus increased, blood urea increased, breast disorder, constipation, convulsion, cystitis","blood glucose decreased, blood potassium increased, dyslipidaemia, haematocrit increased, high density lipoprotein decreased, low density lipoprotein increased, vulvitis, vulvovaginal candidiasis, vulvovaginal mycotic infection, vulvovaginal pruritus",rash vesicular,,"balanitis candida, diabetic complication, glomerular filtration rate decreased, kidney infection, phimosis, polymorphic light eruption, urosepsis"
capecitabine,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain lower, abdominal pain upper, actinic keratosis, acute coronary syndrome, ageusia, agranulocytosis, alanine aminotransferase increased, alopecia, altered state of consciousness","angina unstable, appetite disorder, arrhythmia supraventricular, blood calcium decreased, corneal disorder, duodenitis, ear discomfort, enteritis, exostosis, facial pain","coma hepatic, congenital anomaly, creatinine renal clearance decreased, cutaneous lupus erythematosus, developmental delay, diarrhoea haemorrhagic, fibrosis, gastrointestinal candidiasis","food allergy, hand and foot syndrome secondary to sickle cell anaemia, hepatic fibrosis, idiopathic thrombocytopenic purpura, nasal ulcer, oedema due to cardiac disease, oesophageal candidiasis, palmar-plantar erythrodysaesthesia syndrome","burning mouth syndrome, food intolerance, gastrointestinal toxicity, intertrigo, overdose, palmar erythema, scratch, skin reaction"
captopril,"abdominal pain, ageusia, agranulocytosis, alopecia, anaemia, anaphylactic shock, angina pectoris, angioedema, aphthous stomatitis, arthralgia, asthenia, ataxia","acidosis, anaphylactoid reaction, anuria, blood potassium increased, drug interaction, haemolytic anaemia, laryngeal oedema, loss of libido, nephritis, nephrotic syndrome","antinuclear antibody positive, hepatic necrosis, necrosis, pemphigus, pulmonary eosinophilia","blood pressure normal, microcephaly, microsomia, oligohydramnios, patent ductus arteriosus, pemphigoid, pregnancy",renovascular hypertension
carbachol,"abdominal pain, arrhythmia, asthma, conjunctival hyperaemia, corneal opacity, diarrhoea, dizziness, dyspepsia, eye irritation, flushing, headache, hyperhidrosis",retinal detachment,,,"ciliary muscle spasm, corneal degeneration"
carbamazepine,"abdominal discomfort, abdominal pain, accommodation disorder, aggression, agitation, agranulocytosis, albuminuria, alopecia, amblyopia, amnesia, anaemia, anaemia megaloblastic","adams-stokes syndrome, anaemia macrocytic, anuria, aplasia pure red cell, aplastic anaemia, asterixis, bipolar disorder, bipolar i disorder, blood calcium decreased, blood disorder","acute generalised exanthematous pustulosis, bone density decreased, bone metabolism disorder, coronary artery insufficiency, eye movement disorder, granulomatous liver disease, hepatitis cholestatic, high density lipoprotein increased","brain injury, breast feeding, jaundice hepatocellular, onychomadesis, pregnancy, testicular atrophy",human herpesvirus 6 infection
carboplatin,"abdominal discomfort, abdominal pain, acute coronary syndrome, alopecia, anaemia, anaphylactic shock, angina pectoris, angiopathy, arthralgia, aspartate aminotransferase increased, asthenia, blood alkaline phosphatase increased","anaphylactoid reaction, blindness, blindness cortical, drug interaction, gastrointestinal tract irritation, haemolytic uraemic syndrome, myelodysplastic syndrome","blood creatinine decreased, leukaemia, necrosis",renal function test abnormal,"gastrointestinal toxicity, palmar erythema"
carfilzomib,"acute coronary syndrome, anaemia, arthralgia, aspartate aminotransferase increased, asthenia, back pain, bacterial infection, blood creatinine increased, body temperature increased, cardiac arrest, cardiac disorder, cardiac failure congestive",,,death,organ failure
carisoprodol,"agitation, ataxia, back pain, convulsion, dizziness, dyspepsia, epigastric discomfort, flushing, headache, hiccups, insomnia, irritability",blood disorder,,,
carvedilol,"abdominal pain, acute coronary syndrome, affect lability, alanine aminotransferase increased, albuminuria, alopecia, amnesia, anaemia, anaphylactic shock, angina pectoris, angioedema, angiopathy","acute myocardial infarction, anaphylactoid reaction, angina unstable, aplastic anaemia, atrioventricular block complete, cardiogenic shock, drug level increased, high density lipoprotein decreased, paresis, periodontitis","hypocholesterolaemia, prothrombin level decreased, respiratory alkalosis","breast feeding, dermatitis psoriasiform, hepatic congestion, renal artery stenosis",ischaemic cardiomyopathy
cefaclor,"abdominal pain, agitation, agranulocytosis, alanine aminotransferase increased, anaphylactic shock, angioedema, anxiety, arthralgia, asthenia, asthma, back pain, blood alkaline phosphatase increased","anaphylactoid reaction, aplastic anaemia, blood albumin decreased, blood calcium decreased, blood potassium increased, haemolytic anaemia, nephropathy, pyuria, serum sickness, superinfection",serum sickness-like reaction,blood sodium increased,
cefadroxil,"abdominal pain, agranulocytosis, alanine aminotransferase increased, anaphylactic shock, angioedema, arthralgia, aspartate aminotransferase increased, asthenia, blood alkaline phosphatase increased, blood bilirubin increased, blood creatinine increased, blood lactate dehydrogenase increased","aplastic anaemia, haemolytic anaemia, serum sickness, superinfection",,infertility,
cefazolin,"abdominal pain, abdominal pain upper, agitation, agranulocytosis, anaemia, anal pruritus, anaphylactic shock, anorectal discomfort, aspartate aminotransferase increased, asthenia, blood bilirubin increased, blood creatinine increased","aplastic anaemia, blood disorder, haemolytic anaemia, liver disorder, nephropathy, post procedural infection, superinfection, tubulointerstitial nephritis, vulvovaginal pruritus",serum sickness-like reaction,,pneumonia streptococcal
cefdinir,"abdominal pain, acute coronary syndrome, agitation, agranulocytosis, amylase increased, anaphylactic shock, aspartate aminotransferase increased, asthenia, asthma, blood urine, blood urine present, body temperature increased","abnormal faeces, acute respiratory failure, aplastic anaemia, choking sensation, disseminated intravascular coagulation, enterocolitis, haemolytic anaemia, haemorrhagic disorder, hepatitis acute, laryngeal oedema","diarrhoea haemorrhagic, enterocolitis haemorrhagic, eosinophilic pneumonia, hepatitis fulminant, leukocytoclastic vasculitis, skin candida","idiopathic thrombocytopenic purpura, upper gastrointestinal haemorrhage, white blood cells urine positive",disability
cefepime,"abdominal infection, abdominal pain, agitation, agranulocytosis, alanine aminotransferase increased, altered state of consciousness, anaemia, anaphylactic shock, blood alkaline phosphatase increased, blood phosphorus decreased, body temperature increased, bronchitis","aplastic anaemia, blood calcium decreased, blood potassium increased, coma, haemolytic anaemia, liver disorder, status epilepticus, vulvovaginal candidiasis, vulvovaginal mycotic infection",haemolysis,muscle mass,"disability, pneumonia streptococcal"
cefixime,"abdominal pain, agranulocytosis, anaphylactic shock, angioedema, blister, blood bilirubin increased, blood lactate dehydrogenase increased, body temperature increased, candida infection, cholestasis, colitis, convulsion","anaphylactoid reaction, aplastic anaemia, haemolytic anaemia, meningitis, serum sickness, superinfection",,,"coombs test positive, pneumonia streptococcal"
cefotaxime,"abdominal pain, agranulocytosis, anaphylactic shock, angioedema, arrhythmia, body temperature increased, bronchospasm, candida infection, cholestasis, colitis, convulsion, dermatitis","aplastic anaemia, enterocolitis, haemolytic anaemia, superinfection, traumatic liver injury, tubulointerstitial nephritis",,,
cefotetan,"abdominal pain, agranulocytosis, anaphylactic shock, blood bilirubin increased, body temperature increased, cholestasis, colitis, convulsion, dermatitis, diarrhoea, discomfort, eosinophilia","aplastic anaemia, haemolytic anaemia, superinfection, vulvovaginal candidiasis, vulvovaginal mycotic infection",,,
cefoxitin,"abdominal pain, agranulocytosis, anaemia, anaphylactic shock, angioedema, azotaemia, blood bilirubin increased, body temperature increased, candida infection, cholestasis, colitis, convulsion","aplastic anaemia, haemolytic anaemia, serum sickness, superinfection, tubulointerstitial nephritis, vulvovaginal candidiasis, vulvovaginal mycotic infection",myasthenia gravis,acute prerenal failure,
cefprozil,"abdominal pain, agitation, agranulocytosis, anaphylactic shock, angioedema, blood lactate dehydrogenase increased, blood urea increased, body temperature increased, colitis, confusional state, convulsion, dermatitis","acute sinusitis, aplastic anaemia, haemolytic anaemia, serum sickness, superinfection, tonsillitis","congenital anomaly, developmental delay, tooth discolouration",,pneumonia streptococcal
ceftazidime,"abdominal pain, agitation, agranulocytosis, alcohol intolerance, anaphylactic shock, angioedema, angiopathy, application site pain, body temperature increased, bronchospasm, candida infection, cholestasis","aplastic anaemia, asterixis, coma, haemolytic anaemia, nephropathy",,cardio-respiratory arrest,"coombs test positive, foetal damage"
ceftriaxone,"abdominal pain, abdominal pain upper, agitation, agranulocytosis, anaemia, anaphylactic shock, aspartate aminotransferase increased, ataxia, blood creatinine increased, blood lactate dehydrogenase increased, blood urine, blood urine present","alveolitis allergic, anaphylactoid reaction, aplastic anaemia, drug interaction, enterocolitis, haemolytic anaemia, laryngeal oedema, serum sickness, superinfection","autoimmune haemolytic anaemia, basophilia, crystalluria, monocytosis, serum sickness-like reaction",prothrombin time shortened,
cefuroxime,"abdominal pain, agitation, agranulocytosis, anaphylactic shock, angioedema, angiopathy, arthralgia, blood alkaline phosphatase increased, blood bilirubin increased, blood creatinine increased, blood urea increased, body temperature increased","aplastic anaemia, gastrointestinal infection, haemolytic anaemia, liver disorder, red blood cell sedimentation rate increased, renal pain, swollen tongue, tracheobronchitis, tubulointerstitial nephritis, urethral pain","blood creatinine decreased, serum sickness-like reaction",cutaneous vasculitis,"coombs test positive, disability, intertrigo candida"
celecoxib,"abdominal pain, abdominal pain upper, activated partial thromboplastin time prolonged, acute coronary syndrome, ageusia, agranulocytosis, alanine aminotransferase increased, albuminuria, alopecia, anaemia, anaphylactic shock, angina pectoris","adenoma benign, anaphylactoid reaction, angina unstable, aplastic anaemia, blood potassium increased, blood testosterone decreased, breast neoplasm, cerebral infarction, completed suicide, coronary artery disease","acute generalised exanthematous pustulosis, drug reaction with eosinophilia and systemic symptoms, enterocolitis haemorrhagic, foot fracture, gingival infection, hepatic necrosis, hepatitis cholestatic, hepatitis fulminant","anosmia, benign prostatic hyperplasia, blood sodium increased, glomerulonephritis minimal lesion, venous occlusion","alveolar osteitis, aortic valve incompetence, arteriosclerosis coronary artery, diverticulum, epicondylitis, ischaemic stroke, soft tissue infection, vertigo cns origin"
